,steps,long
0,13,0.3333333333333333
1,55,0.8571428571428571
2,235,0.6666666666666666
3,65,1.0
4,196,0.6
5,496,0.25
6,377,0.8734177215189873
7,263,0.0
8,180,0.8409090909090909
9,25,0.0
10,237,0.6428571428571429
11,29,0.6666666666666666
12,225,0.6
13,397,0.5
14,53,1.0
15,15,1.0
16,277,0.4
17,466,0.2857142857142857
18,355,0.5714285714285714
19,41,0.5
20,411,0.890625
21,110,0.5
22,25,1.0
23,232,0.8620689655172413
24,111,0.9090909090909091
25,163,0.0
26,9,1.0
27,342,0.42857142857142855
28,19,0.75
29,454,0.18181818181818182
30,59,0.5
31,58,0.6666666666666666
32,13,0.8333333333333334
33,39,0.8
34,15,1.0
35,53,0.5
36,383,0.375
37,95,0.7142857142857143
38,978,0.7659574468085106
39,176,0.9333333333333333
40,78,0.25
41,17,0.3333333333333333
42,124,0.9545454545454546
43,53,0.8571428571428571
44,507,0.5714285714285714
45,19,1.0
46,99,1.0
47,17,0.3333333333333333
48,25,1.0
49,131,0.875
50,96,0.14285714285714285
51,58,0.5454545454545454
52,38,1.0
53,623,0.3333333333333333
54,40,0.8333333333333334
55,33,1.0
56,860,0.5
57,428,0.5
58,19,0.75
59,61,0.5454545454545454
60,17,0.3333333333333333
61,23,0.6666666666666666
62,76,0.8888888888888888
63,118,0.6666666666666666
64,61,1.0
65,618,0.2857142857142857
66,13,1.0
67,106,1.0
68,97,0.8571428571428571
69,25,1.0
70,116,0.42857142857142855
71,53,1.0
72,13,1.0
73,41,1.0
74,21,0.0
75,32,0.7142857142857143
76,47,1.0
77,27,1.0
78,41,0.6
79,55,0.5333333333333333
80,19,0.8
81,76,0.8
82,315,0.2857142857142857
83,19,1.0
84,202,0.3333333333333333
85,13,1.0
86,15,1.0
87,17,1.0
88,41,0.5
89,33,0.3333333333333333
90,27,1.0
91,103,1.0
92,127,0.0
93,74,0.9
94,24,1.0
95,47,0.0
96,19,1.0
97,150,0.25
98,15,0.0
99,38,0.7142857142857143
100,83,0.875
101,71,0.5
102,37,1.0
103,226,1.0
104,27,0.75
105,15,0.5
106,58,0.8
107,179,0.0
108,11,0.3333333333333333
109,27,1.0
110,17,0.5
111,101,1.0
112,27,0.75
113,41,0.0
114,383,0.3333333333333333
115,61,0.7777777777777778
116,19,1.0
117,27,1.0
118,25,0.0
119,23,0.2
120,41,0.9
121,114,0.6
122,89,0.9230769230769231
123,156,0.0
124,33,0.8333333333333334
125,19,1.0
126,43,0.0
127,40,0.3333333333333333
128,37,0.2857142857142857
129,17,1.0
130,25,1.0
131,397,0.0
132,27,1.0
133,227,0.0
134,26,1.0
135,31,1.0
136,19,1.0
137,40,0.3333333333333333
138,25,0.3333333333333333
139,19,1.0
140,332,0.0
141,134,0.5714285714285714
142,25,1.0
143,33,1.0
144,41,0.8333333333333334
145,87,0.3333333333333333
146,27,1.0
147,125,0.6
148,39,1.0
149,14,0.5
150,577,0.3
151,240,1.0
152,38,1.0
153,48,1.0
154,40,1.0
155,33,0.6666666666666666
156,27,1.0
157,54,0.8
158,53,0.0
159,36,0.8333333333333334
160,309,0.0
161,551,1.0
162,47,0.6666666666666666
163,85,0.9090909090909091
164,85,0.2
165,51,0.0
166,19,0.6
167,67,0.875
168,27,0.75
169,19,1.0
170,55,0.625
171,83,1.0
172,31,0.0
173,9,0.5
174,61,0.2
175,13,1.0
176,17,1.0
177,32,0.3333333333333333
178,198,0.0
179,19,1.0
180,23,1.0
181,13,1.0
182,55,0.6666666666666666
183,86,0.75
184,19,1.0
185,19,0.5
186,54,0.8571428571428571
187,75,1.0
188,45,0.5
189,456,0.3333333333333333
190,11,1.0
191,17,1.0
192,53,0.6666666666666666
193,59,0.2
194,31,1.0
195,62,0.75
196,44,0.0
197,13,1.0
198,638,0.0
199,27,1.0
200,166,1.0
201,25,1.0
202,43,0.6
203,45,0.8571428571428571
204,289,0.14285714285714285
205,39,0.8
206,11,0.5
207,71,0.875
208,31,1.0
209,19,1.0
210,13,1.0
211,76,0.2
212,47,1.0
213,83,0.0
214,13,1.0
215,17,1.0
216,17,0.5
217,19,0.25
218,11,1.0
219,23,0.5
220,19,1.0
221,33,1.0
222,225,0.0
223,213,0.5
224,118,0.8666666666666667
225,37,1.0
226,47,1.0
227,188,0.6666666666666666
228,25,0.4
229,29,1.0
230,48,0.25
231,13,1.0
232,17,1.0
233,25,0.6
234,19,0.6666666666666666
235,33,1.0
236,225,0.5
237,26,0.2
238,27,1.0
239,25,0.5
240,41,1.0
241,303,0.0
242,33,1.0
243,33,0.5
244,1085,0.5
245,39,1.0
246,230,1.0
247,51,1.0
248,124,0.2222222222222222
249,34,1.0
250,17,1.0
251,18,1.0
252,19,1.0
253,895,0.2
254,60,0.5
255,15,1.0
256,48,1.0
257,17,0.5
258,53,0.7272727272727273
259,37,1.0
260,37,0.75
261,23,1.0
262,29,0.0
263,1142,0.5
264,23,1.0
265,17,1.0
266,27,0.5
267,27,0.5
268,25,1.0
269,27,1.0
270,39,0.5
271,69,1.0
272,25,1.0
273,27,1.0
274,39,0.6666666666666666
275,29,1.0
276,19,0.5
277,96,0.2222222222222222
278,41,0.14285714285714285
279,13,1.0
280,67,0.6666666666666666
281,39,0.8333333333333334
282,89,0.0
283,73,0.75
284,11,1.0
285,75,0.2857142857142857
286,19,1.0
287,81,0.3333333333333333
288,207,0.5
289,17,1.0
290,13,1.0
291,67,1.0
292,11,1.0
293,79,0.0
294,13,1.0
295,11,1.0
296,248,0.0
297,27,1.0
298,27,1.0
299,11,1.0
300,83,1.0
301,23,1.0
302,53,0.6666666666666666
303,7,0.0
304,41,0.8
305,33,0.5
306,41,0.75
307,13,1.0
308,26,0.75
309,75,0.7272727272727273
310,47,0.3333333333333333
311,57,0.75
312,11,1.0
313,61,0.6
314,17,1.0
315,232,0.125
316,82,1.0
317,36,1.0
318,59,0.3333333333333333
319,27,0.75
320,53,0.8571428571428571
